titular,perfil_icp,n_concesiones,hectareas_totales,departamentos,provincias,sustancias,estados_concesion,servicio_potencial,REINFO,IGAFOM,DAC,ESTAMIN,revisar_manual,ruc,fuente_dato
S.M.R.L. CHIRA UNO,PERFIL_2_cumplimiento,1,300.0,PIURA,SULLANA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
MINERA PITAY S.A.C.,PERFIL_2_cumplimiento,1,200.0,PIURA,PIURA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
EXAMOVA MAQUINARIAS Y SERVICIOS E.I.R.L.,PERFIL_2_cumplimiento,1,200.0,PIURA,SULLANA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
INVERSIONES LOZADI S.A.C.,PERFIL_2_cumplimiento,1,500.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
COMPAÑIA MINERA YURICHAN S.A.C,PERFIL_2_cumplimiento,1,400.0,PIURA,AYABACA /  SULLANA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. FILONES DORADOS II,PERFIL_2_cumplimiento,1,800.0,PIURA,SULLANA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
EXC TRADING S.A.C.,PERFIL_2_cumplimiento,1,300.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
LL MAQUINARIA E.I.R.L.,PERFIL_2_cumplimiento,1,200.0,PIURA,TALARA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
B LEOPOLDO SERVICIOS GENERALES SOCIEDAD ANONIMA CERRADA,PERFIL_2_cumplimiento,1,200.0,PIURA,SECHURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
EMPRESA GEINER EDGAR ESPINOZA FERNANDEZ EIRL,PERFIL_2_cumplimiento,1,200.0,PIURA,PIURA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
SOCIEDAD MINERA RUJEL MURGUIA AVALOS SAC.,PERFIL_2_cumplimiento,1,100.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CORPORACIÓN MINERA DOÑA MAXI S.R.L,PERFIL_2_cumplimiento,1,200.0,PIURA,SECHURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CONSORCIO MINERO VIRGEN DE CHAPI SAC,PERFIL_2_cumplimiento,1,900.0,PIURA,PIURA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
SERVYTRANSP PERU E.I.R.L,PERFIL_2_cumplimiento,1,400.0,PIURA,TALARA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
ECORE TRADING S.A.C.,PERFIL_2_cumplimiento,1,200.0,PIURA,PIURA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
EMPRESA DE SERVICIOS GENERALES CHILIMASA E.I.R.L.,PERFIL_2_cumplimiento,1,100.0,PIURA,SULLANA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
ALGARROBAL SECO AGREGADOS Y SERVICIOS GENERALES S.A.C.,PERFIL_2_cumplimiento,1,100.0,PIURA,SULLANA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CORPORACION LARD SERVICIOS GENERALES E.I.R.L.,PERFIL_2_cumplimiento,1,100.0,PIURA,SULLANA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
POTONGOS S.A.C.,PERFIL_2_cumplimiento,1,300.0,PIURA,PIURA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. PAMPA HERMOSA 2016,PERFIL_2_cumplimiento,1,100.0,PIURA,TALARA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
COMPAÑIA BORAS S.A.,PERFIL_2_cumplimiento,1,200.0,PIURA,PAITA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. SAN SEBASTIAN DE SUYO,PERFIL_2_cumplimiento,1,300.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
NEGOCIOS Y SERVICIOS MULTIPLES SAN FRANCISCO S.A.C.,PERFIL_2_cumplimiento,1,200.0,PIURA,SECHURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
JA&TA INVERSIONES S.A.C,PERFIL_2_cumplimiento,1,800.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. MINERA JULCA,PERFIL_2_cumplimiento,1,100.0,PIURA,SECHURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
INVERSIONES RIO INAMBARI SOCIEDAD COMERCIAL DE RESPONSABILID,PERFIL_2_cumplimiento,1,100.0,PIURA,SECHURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. MINERA TITO I,PERFIL_2_cumplimiento,1,200.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
COMPAÑIA MINERA LA CIMA SAC,PERFIL_2_cumplimiento,1,900.0,PIURA,PIURA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. GEDY 2,PERFIL_2_cumplimiento,1,300.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. TEODORITA II,PERFIL_2_cumplimiento,1,400.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
WONDER COMPANY S.A.C.,PERFIL_2_cumplimiento,1,200.0,PIURA,PAITA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
GREEN ROCK COPPER S.A.C.,PERFIL_2_cumplimiento,1,600.0,PIURA,HUANCABAMBA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
MINERIA&CONSTRUCCION SERVICIOS GENERALES PIURA S.A.C.,PERFIL_2_cumplimiento,1,200.0,PIURA,PAITA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
INVERSIONES JAVERAL EIRL,PERFIL_2_cumplimiento,1,200.0,PIURA,PIURA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. LUZ DORADA,PERFIL_2_cumplimiento,1,600.0,PIURA,AYABACA /  SULLANA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. SAN LUIS A,PERFIL_2_cumplimiento,1,200.0,PIURA,SULLANA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
SALEMAN CONSULTORES S.A.C.,PERFIL_2_cumplimiento,1,348.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CUANTICA INVERSIONES S.A.C.,PERFIL_2_cumplimiento,1,800.0,PIURA,AYABACA /  PIURA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
SEPTIEMBRE INVERSIONES E.I.R.L.,PERFIL_2_cumplimiento,1,100.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CAUTIVO DE PAMPA LARGA S.A.C.,PERFIL_2_cumplimiento,1,600.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. CUATRO ASES,PERFIL_2_cumplimiento,1,400.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
TRANSPORTES Y ABASTECIMIENTOS SAN MARTIN S.A.C,PERFIL_2_cumplimiento,1,100.0,PIURA,PIURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. ALQAMARI & RGLL 2022,PERFIL_2_cumplimiento,1,200.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
GISELLA FLORES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITAD,PERFIL_2_cumplimiento,1,200.0,PIURA,PIURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
SERVICIOS BIOINSUMOS SOCIEDAD ANONIMA CERRADA,PERFIL_2_cumplimiento,1,200.0,PIURA,PIURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. EL CONDOR DOS AYABACA,PERFIL_2_cumplimiento,1,1000.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
COMERCIAL CHEC IMPORT EXPORT S.A.C.,PERFIL_2_cumplimiento,1,100.0,PIURA,SULLANA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
INVERSIONES EMPRESARIALES SAN PEDRO SOCIEDAD ANONIMA CERRADA,PERFIL_2_cumplimiento,1,200.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. HIERRO FERRUGINOSO III,PERFIL_2_cumplimiento,1,500.0,PIURA,PIURA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. MINERA SOL DE PIURA SAC,PERFIL_2_cumplimiento,1,600.0,PIURA,PIURA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CONSORCIO INMOBILIARIO MONTEVIDEO SAC,PERFIL_2_cumplimiento,1,200.0,PIURA,SECHURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CONSTRUCTORA E INMOBILIARIA HUANGAR S.A.C.,PERFIL_2_cumplimiento,1,200.0,PIURA,PIURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. GOLDEN EAGLE,PERFIL_2_cumplimiento,1,400.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. GOLDEN MEN SOCIETY 1,PERFIL_2_cumplimiento,1,100.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
COOPERATIVA AGRARIA DE USUARIOS LA TINA LTDA,PERFIL_2_cumplimiento,1,900.0,PIURA,AYABACA,METALICA-ORO,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. DOS HERMANOS DE DIOS I,PERFIL_2_cumplimiento,1,300.0,PIURA,PIURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. ECO GOLD CUCHICORRAL,PERFIL_2_cumplimiento,1,200.0,PIURA,AYABACA,M,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
KEFRAYEB S.A.C.,PERFIL_2_cumplimiento,1,100.0,PIURA,PIURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
MINERALES & DERIVADOS SUDAMERICANA S.A.C.,PERFIL_2_cumplimiento,1,1000.0,PIURA,SECHURA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CORPORACIÓN VALLE DEL NORTE SRL,PERFIL_2_cumplimiento,1,200.0,PIURA,MAR /  TALARA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
S.M.R.L. SALINAS BREA,PERFIL_2_cumplimiento,1,200.0,PIURA,MAR /  TALARA,N,TITULADO,DIA/PAMA + DAC/ESTAMIN + Seguridad,false,false,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
